brand_name,model_name,wurfl_device_id,wurfl_fall_back,visits,opSelVisits,opSelVisitsOnly,lpVisits,submissions,subscribers,conv,realConv,marketing_name,device_os,device_os_version,release_date,mobile_browser
HTC,SensationXE Beats Z715e,htc_sensationxe_z715e_ver1_subuanoz715e,htc_sensationxe_z715e_ver1,16,10,8,8,0,0,0,0,Sensation,Android,4,2011_october,Android Webkit
SonyEricsson,LT26i,sonyericsson_lt26i_ver1_suban40,sonyericsson_lt26i_ver1,21148,10318,9537,11611,47,47,0.002222432381313,0.0040478856257,Xperia Arc HD,Android,4,2011_december,Android Webkit
Archos,101 G9,archos_101g9_ver1_suban40,archos_101g9_ver1,9,1,1,8,0,0,0,0,,Android,4,2011_february,Android Webkit
Archos,80 G9,archos_80g9_ver1_suban40,archos_80g9_ver1,2,1,1,1,0,0,0,0,,Android,4,2011_february,Android Webkit
Samsung,GT-I9220,samsung_gt_i9220_ver1_suban40,samsung_gt_i9220_ver1,9,4,4,5,0,0,0,0,Galaxy Note,Android,4,2011_december,Android Webkit
HTC,SensationXE Beats Z715e,htc_sensationxe_z715e_ver1_subua40uscore,htc_sensationxe_z715e_ver1,1378,781,681,697,4,4,0.002902757619739,0.005738880918221,Sensation,Android,4,2011_october,Android Webkit
HTC,Amaze 4G,htc_amaze_4g_ver1_subuanouscore,htc_amaze_4g_ver1,64,43,41,23,0,0,0,0,,Android,2.3,2010_november,Android Webkit
Samsung,GT-N8000,samsung_gt_n8000_ver1,generic_android_ver4,7549,3502,2988,4561,24,24,0.003179229036959,0.005262003946503,Galaxy Note 10.1,Android,4,2012_april,Android Webkit
Samsung,GP-P6810,samsung_gt_p6810_ver1,generic_android_ver3_2,13,5,5,8,0,0,0,0,Galaxy Tab 7.7,Android,3.2,2011_february,Android Webkit
Epad,HT_PAD1051,epad_105_ver1,generic_android_ver2_2,2,0,0,2,0,0,0,0,105,Android,2.2,2009_october,Android Webkit
ZTE,Skate,zte_skate_ver1_subuamontecarlo,zte_skate_ver1,7,4,2,5,0,0,0,0,Monte Carlo,Android,2.3,2012_january,Android Webkit
